Id,Label,fideId,elo,top_player,location,lat,lng
Kirill Alekseenko,Kirill Alekseenko,0,2638,True,Russian Federation,60.0,100.0
Parham Maghsoodloo,Parham Maghsoodloo,0,2584,True,Iran,,
Gabriel Sargissian,Gabriel Sargissian,0,2686,True,Armenia,40.0,45.0
Vladimir Akopian,Vladimir Akopian,0,2691,True,Armenia,40.0,45.0
Alexander Moiseenko,Alexander Moiseenko,0,2707,True,Ukraine,49.0,32.0
Bogdan-Daniel Deac,Bogdan-Daniel Deac,1226380,2566,True,Romania,46.0,25.0
Anton Korobov,Anton Korobov,0,2708,True,Ukraine,49.0,32.0
Alexander Onischuk,Alexander Onischuk,0,2666,True,Ukraine,49.0,32.0
Zurab Azmaiparashvili,Zurab Azmaiparashvili,0,2655,True,Georgia,42.0,43.5
Maxim Rodshtein,Maxim Rodshtein,0,2623,True,Russian Federation,60.0,100.0
Samuel Shankland,Samuel Shankland,2004887,2705,True,United States,38.0,-97.0
Vugar Gashimov,Vugar Gashimov,0,2658,True,Azerbaijan,40.5,47.5
Emil Sutovsky,Emil Sutovsky,0,2650,True,Azerbaijan,40.5,47.5
Adhiban Baskaran,Adhiban Baskaran,5018471,2655,True,India,20.0,77.0
Vincent Keymer,Vincent Keymer,0,2502,True,Germany,51.0,9.0
Boris Grachev,Boris Grachev,0,2654,True,Russian Federation,60.0,100.0
Arjun Erigaisi,Arjun Erigaisi,0,2458,True,India,20.0,77.0
Evgeny Bareev,Evgeny Bareev,0,2655,True,Russian Federation,60.0,100.0
Gukesh Dommaraju,Gukesh Dommaraju,46616543,2547,True,India,20.0,77.0
Liviu-Dieter Nisipeanu,Liviu-Dieter Nisipeanu,0,2689,True,ROmania,46.0,25.0
Romain Edouard,Romain Edouard,0,2625,True,France,46.0,2.0
Vasyl Ivanchuk,Vasyl Ivanchuk,14100010,2726,True,Ukraine,49.0,32.0
Ray Robson,Ray Robson,0,2670,True,United States,38.0,-97.0
Alexander Areshchenko,Alexander Areshchenko,0,2682,True,Ukraine,49.0,32.0
Zahar Efimenko,Zahar Efimenko,0,2701,True,Ukraine,49.0,32.0
David Howell,David Howell,410608,2644,True,United Kingdom,54.0,-2.0
Valery Salov,Valery Salov,0,2685,True,Russian Federation,60.0,100.0
Rameshbabu Praggnanandhaa,Rameshbabu Praggnanandhaa,25059530,2530,True,India,20.0,77.0
Vadim Milov,Vadim Milov,0,2681,True,Russian Federation,60.0,100.0
Igor Lysyj,Igor Lysyj,4150120,2594,True,Russian Federation,60.0,100.0
Gawain Jones,Gawain Jones,409561,2702,True,United Kingdom,54.0,-2.0
Vladislav Kovalev,Vladislav Kovalev,0,2687,True,Belarus,53.0,28.0
Radosław Wojtaszek,Radosław Wojtaszek,1118358,2750,True,Poland,52.0,20.0
Li Chao,Li Chao,0,2711,True,China,35.0,105.0
Hans Niemann,Hans Niemann,0,2466,True,United States,38.0,-97.0
Alexander Beliavsky,Alexander Beliavsky,14602377,2651,True,Ukraine,49.0,32.0
Mikhail Tal,Mikhail Tal,0,2585,True,Latvia,57.0,25.0
Luke McShane,Luke McShane,404853,2677,True,United Kingdom,54.0,-2.0
Javokhir Sindarov,Javokhir Sindarov,14205483,2526,True,Uzbekistan,41.0,64.0
Ilya Smirin,Ilya Smirin,2801990,2607,True,Belarus,53.0,28.0
Nigel Short,Nigel Short,400025,2652,True,United Kingdom,54.0,-2.0
Vladimir Fedoseev,Vladimir Fedoseev,0,2352,True,Russian Federation,60.0,100.0
David Antón Guijarro,David Antón Guijarro,0,2574,True,Spain,40.0,-4.0
Michał Krasenkow,Michał Krasenkow,1113100,2636,True,Russian Federation,60.0,100.0
